PROBE_ID	GENOMICLOCATION	SYMBOL	sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10	sample11	sample12
ILMN_2234605	"chr1:984393:984439:+,chr1:984616:984618:+"	AGRN	5.899831629	5.96433841	5.89105622	5.852478076	5.827771275	6.037132598	6.005766052	5.921037436	5.902492002	5.872830473	5.884792318	5.710288984
ILMN_1770454	chr1:991196:991245:+	AGRN	6.209334322	6.358067964	6.254199176	6.23441097	6.322746629	6.25768154	6.319666536	6.19360743	6.268210049	6.253080836	6.275854106	6.341046443
ILMN_1712177	chr1:1007517:1007566:-	RNF223	6.038702218	5.985938208	5.917474171	5.975288992	5.914532474	5.955546176	5.992307833	5.957378778	5.918614396	5.93738375	5.942525725	6.037143112
ILMN_1672811	chr1:1017645:1017694:-	C1orf159	5.892301784	6.021397063	5.93113347	5.944860811	5.973299763	6.074640803	6.03706623	5.941743364	6.097264413	6.125389995	6.104021831	6.013873287
ILMN_3281023	chr1:1110958:1111007:-	AK128833	6.053620482	6.005009694	6.112511261	6.011933748	6.052905869	5.956507154	5.952349495	6.050814743	5.976798001	5.921842314	5.997142879	5.981356219
ILMN_1799329	chr1:1121144:1121193:+	TTLL10	5.812728427	5.859106401	5.815117989	5.853396006	5.79307223	5.958629635	5.905563608	5.801162251	5.870325951	5.765924488	5.828540293	5.881320939
ILMN_1743100	"chr1:1139779:1139803:-,chr1:1139316:1139340:-"	TNFRSF18	5.88450127	5.941174091	5.884821711	5.890243616	5.963556209	5.935857243	5.9545028	5.954506627	5.922672709	5.945335323	6.049100069	5.846693719
ILMN_2349633	chr1:1140794:1140843:-	TNFRSF18	5.829455553	5.818464884	5.883496943	5.855499181	5.808452211	5.871469583	5.870102797	5.897202724	5.849633788	5.823865181	5.862881844	5.867825387
ILMN_2112256	chr1:1146726:1146775:-	TNFRSF4	6.284360552	7.009280495	6.867964667	7.094992526	6.824670354	7.253738373	7.064559845	6.942898948	6.833321965	6.628994191	6.74765389	6.660540735
ILMN_1710204	chr1:1147348:1147397:-	TNFRSF4	5.992145821	5.996310505	6.010181076	5.948449393	6.074808536	6.102989502	6.02417601	5.984240391	6.025388016	5.942342586	5.951261786	5.91700933
ILMN_1696065	chr1:1152569:1152618:-	SDF4	7.693477959	7.647716247	7.687032063	7.24163281	7.62221737	7.69738702	7.314778605	7.566863483	7.96472581	7.765462887	8.092641498	8.1014745
ILMN_2378257	chr1:1153004:1153053:-	SDF4	6.38215451	6.19443258	6.541280232	6.211623777	6.354997866	6.577924131	6.451202766	6.168936631	6.684770935	6.622384907	6.517672575	6.774975321
ILMN_1785605	chr1:1153116:1153165:-	SDF4	5.873069404	5.942411003	5.876574257	5.883971976	5.922643365	5.905965765	5.857962409	5.892821859	5.854681582	5.83340805	5.835187048	5.839330602
ILMN_1739749	chr1:1170128:1170177:+	B3GALT6	6.349633236	6.858482737	6.604227442	6.709382513	6.854486199	6.764717033	6.670721625	6.827207259	6.855372481	6.88035908	6.937942554	6.904878873
ILMN_1662949	chr1:1178445:1178494:-	FAM132A	5.803047515	5.911906594	5.841887209	5.836892705	5.789118324	5.893558976	5.811330748	5.919215635	5.903698004	5.881275735	5.971876811	5.861872364
ILMN_2387990	chr1:1189426:1189475:-	UBE2J2	6.275544998	6.225501579	6.481344304	6.342157164	6.478916593	6.306124349	6.334269179	6.372282416	6.480558072	6.082818077	6.406813385	6.359906628
ILMN_1772712	chr1:1189665:1189714:-	UBE2J2	6.127731035	6.006993114	6.13824637	5.981105705	6.156603242	6.01724648	6.067175229	6.139187667	6.059864559	6.188005017	6.07936203	6.277227581
ILMN_1693991	chr1:1197705:1197754:-	UBE2J2	5.888034054	6.08151592	5.9548065	5.919922288	5.97496419	6.03017488	5.947196494	5.98179686	6.003728322	6.196586501	6.060167405	6.121294629
ILMN_1671362	chr1:1203123:1203172:-	UBE2J2	5.88334691	5.771304087	5.934927374	5.795668174	5.870950416	5.824515599	5.888656365	5.927440173	5.850684206	5.862196758	5.825464615	5.748193478
ILMN_1754757	chr1:1227350:1227399:+	SCNN1D	6.184867289	6.498687796	6.197575612	6.223005464	6.161854758	6.251888021	6.100993035	6.043279323	6.351987257	6.152917698	6.383483445	6.162160888
ILMN_1743847	chr1:1229514:1229563:-	ACAP3	5.794575745	5.928840855	5.86856966	5.804522146	5.920221954	5.878954316	5.802707998	5.854714764	5.812457983	5.746777632	5.927788256	5.776542282
ILMN_1780315	chr1:1246734:1246783:+	PUSL1	6.04935371	6.096704934	5.948305616	6.069640691	5.994405235	6.05682174	6.025950346	6.146021032	6.151400229	6.114034036	6.1533679	6.092733652
ILMN_1762316	chr1:1247144:1247193:-	CPSF3L	6.425747127	6.644908666	6.446896015	6.608318717	6.54816359	6.537153216	6.483816151	6.605586213	6.699769619	6.653946179	6.823313543	6.654763316
ILMN_1718013	"chr1:1247398:1247409:-,chr1:1247267:1247304:-"	CPSF3L	6.137448818	6.348293921	6.164812847	6.408056295	6.376017537	6.195000922	6.379836286	6.341647802	6.342137218	6.502738214	6.418035644	6.398153258
ILMN_1681325	chr1:1263940:1263989:+	GLTPD1	6.307289518	6.268008489	6.258025509	6.266643019	6.270897622	6.415946242	6.28467608	6.220930861	6.236402621	6.305389332	6.31212546	6.218835457
ILMN_2234310	chr1:1264115:1264164:+	GLTPD1	6.261826255	6.264719365	6.128139655	6.169947871	6.408164268	6.246491778	6.219988899	6.192836667	6.401995582	6.451873304	6.272937225	6.087766302
ILMN_2108135	chr1:1268102:1268151:+	TAS1R3	5.862190267	5.815329696	5.860452818	5.851859198	5.994222981	5.81842646	5.960869199	5.924356401	5.922168089	5.797980275	5.733277316	5.839672159
ILMN_1798875	chr1:1270469:1270518:+	TAS1R3	5.900147057	6.007507994	6.079251626	6.017029441	5.848087534	5.91689506	5.967184176	5.897868315	5.905104814	6.000803372	5.9145314	5.824201661
ILMN_3200492	chr1:1270650:1270699:-	DVL1	5.940574734	5.810432747	5.964110845	5.875861475	5.852208073	5.874683632	5.899004791	5.880386183	5.874888431	5.814433606	5.863794292	5.880276851
ILMN_3276971	chr1:1271127:1271174:-	DVL1	5.923224084	6.213324094	6.078530604	6.022095248	6.034634435	6.034408805	5.99997513	6.042795381	6.164611799	6.195072483	6.154791399	6.179359977
ILMN_1678564	"chr1:1273357:1273400:-,chr1:1271890:1271895:-"	DVL1	5.957006158	6.007285293	5.843162406	5.891522774	5.962682602	5.918519159	5.959070161	5.860800363	5.881107167	5.931921958	5.871409512	5.931986454
ILMN_1783444	chr1:1273691:1273740:-	DVL1	5.847551452	5.864262522	5.839314775	5.955652906	5.839405401	5.87461542	5.904035288	5.922874187	5.857433705	5.870941752	6.01711656	5.914914974
ILMN_1655632	"chr1:1275790:1275833:-,chr1:1275691:1275696:-"	DVL1	5.843050404	5.844543303	5.808120702	5.883887577	5.939371053	5.800559862	5.891377753	5.888901792	5.870764414	5.784509409	5.82830982	5.925723699
ILMN_1657278	"chr1:1278069:1278079:-,chr1:1277826:1277864:-"	DVL1	6.106996392	6.215029961	5.933489171	5.97447462	6.072891733	6.008954044	6.069239418	6.079217163	6.083322191	6.026349937	5.933471872	6.007275902
ILMN_1682778	chr1:1288593:1288642:-	MXRA8	5.864783916	5.737353472	5.962119803	5.840141503	5.964350331	5.922750601	6.023891542	5.947798874	5.942503974	5.86902453	5.936014953	5.923775249
ILMN_1690846	chr1:1288611:1288636:-	MXRA8	6.055841984	6.044085042	6.167433075	6.001507719	6.127363347	6.050646801	6.066817526	6.073616699	6.00354102	5.98790177	5.93586905	5.987394126
ILMN_3236381	chr1:1288647:1288695:-	MXRA8	5.919597966	5.88177382	5.952037261	5.961695266	6.033269915	5.892337382	6.047250085	6.068997122	5.97042682	5.961679514	6.051706688	5.93774229
ILMN_2068257	chr1:1290656:1290705:-	MXRA8	5.953565378	5.937374596	5.838762793	5.892808424	5.929684045	5.938869076	5.970663024	5.916330185	5.851472498	5.870050231	5.923259283	5.85437992
ILMN_1768396	chr1:1309113:1309162:-	AURKAIP1	10.02338621	10.00417702	9.77339221	10.07997285	10.18147025	10.01610162	10.0023912	9.905514298	9.726755433	9.83701047	9.91523682	9.90331477
ILMN_3236249	chr1:1322615:1322648:-	CCNL2	6.334978942	6.390698791	6.248503724	6.158093045	6.253292977	6.344126423	6.264035935	6.245801078	6.491976047	6.403604579	6.577948973	6.416904839
ILMN_1698260	chr1:1325627:1325651:+	CCNL2	5.96275992	5.890044987	6.002617438	5.985348482	5.968521491	5.947795379	5.938479506	5.955485507	5.957386243	6.028087881	5.964964591	5.91424343
ILMN_2379226	chr1:1334493:1334542:-	CCNL2	6.055060329	5.981055837	6.167808548	6.010434624	6.038559447	6.089162029	6.007611954	6.043632443	6.036779692	6.139216135	6.109299316	6.044122317
ILMN_3244323	chr1:1337225:1337274:+	hCG_20425	7.511808518	8.034666935	7.863366769	8.033962462	7.920649966	7.863738716	7.948271722	8.186483369	8.282703593	8.36542823	8.13166981	8.284412107
ILMN_1745214	chr1:1340950:1340999:-	MRPL20	6.17059513	6.125086008	6.111246098	6.099911194	6.165491871	6.115617438	6.071914655	6.067660713	6.043341645	6.135675959	6.192115068	5.967637785
ILMN_1693352	chr1:1342562:1342611:-	MRPL20	6.697539815	6.991181165	6.761674084	6.65111958	6.893113593	6.646163976	6.851098215	6.839332674	6.94901493	7.215904925	7.059231012	7.014473832
ILMN_2189424	chr1:1342610:1342659:-	MRPL20	6.094037888	5.992052774	5.961711883	6.066018449	6.112379509	6.095409104	6.091915435	6.201113182	6.092994278	6.204330223	6.18581586	6.071427232
ILMN_1653039	chr1:1353800:1353841:-	LOC441869	8.386992512	9.057887627	7.485923344	8.284153277	8.407046671	8.093308815	8.356109095	8.575217678	8.164793751	8.522846398	8.192352518	7.742389957
ILMN_3236325	chr1:1354361:1354408:-	LOC441869	6.033275351	6.055912197	5.96909282	6.122982	5.993569417	5.932777301	6.021482756	5.990306483	5.878016008	5.924287478	5.91362705	5.956134308
ILMN_1708608	chr1:1356178:1356227:-	LOC441869	5.845322573	5.870685508	5.790445294	5.934976747	5.966046163	5.91050228	5.873778599	5.911902832	5.893777625	5.92347792	5.816250119	5.775475051
ILMN_1810696	"chr1:1361734:1361765:+,chr1:1362934:1362951:+"	TMEM88B	5.845920253	5.997682897	5.945028921	6.006775031	5.959371861	5.999280321	5.994811291	6.029737875	5.817104326	5.842513574	5.854108968	5.842978049
ILMN_2289576	chr1:1372488:1372537:+	VWA1	5.849530145	5.916983263	5.886504365	5.871434388	5.912363768	5.827798245	5.878086443	5.988603438	5.91767245	5.828051967	5.823836423	5.846741144
ILMN_1773026	chr1:1372636:1372685:+	VWA1	5.783318199	5.89284183	5.91286574	5.887414938	5.898558554	5.951642516	5.780489739	5.993573989	5.922579696	5.918212182	5.823803475	5.843399912
ILMN_1781636	chr1:1375759:1375808:+	VWA1	5.912052074	6.034698612	5.920628773	6.063468715	5.986473758	5.937307172	5.93388909	6.045502748	6.007572383	5.978892913	6.038500857	6.020284582
ILMN_1660554	chr1:1375854:1375903:+	VWA1	6.015441054	5.922591256	6.045089149	5.95927529	5.953939237	5.994071508	6.051385469	5.943696457	5.931123393	5.938495162	5.946899581	5.939048085
ILMN_3201153	chr1:1378052:1378101:+	VWA1	5.880573329	5.848360743	5.845299493	5.858244726	5.853140358	5.874799272	5.978669856	5.948160601	5.791663938	5.771323245	5.87341282	5.814775934
ILMN_1780923	chr1:1387438:1387487:+	ATAD3C	5.823311257	5.865731237	5.849491043	5.895695595	5.912443114	5.977122732	5.83743446	5.822590532	5.865967092	5.895817897	5.898266473	5.927141294
ILMN_2231569	chr1:1405070:1405119:+	ATAD3C	5.933272222	5.97722822	6.046960015	5.923378204	5.908105839	5.874328381	5.906519965	5.990047845	6.022457739	5.862911502	5.972200762	5.991735794
ILMN_1652459	chr1:1425520:1425569:+	ATAD3B	6.371180321	6.437346535	6.415760511	6.352978734	6.394318627	6.531381378	6.333164408	6.396406268	6.469021001	6.443720699	6.641370687	6.477872473
ILMN_3241212	"chr1:1425761:1425804:+,chr1:1425943:1425948:+"	ATAD3B	5.97341257	5.977848148	5.960584095	5.803392941	5.900821222	5.943834561	5.953261068	5.99298636	5.99482956	5.829772524	5.870278373	5.846736083
ILMN_3236164	chr1:1431087:1431122:+	ATAD3B	5.944262458	6.016976634	6.025972199	6.017212668	6.196585178	5.982832971	6.1093326	5.952301236	6.039739265	5.952065491	6.023362906	6.080839061
ILMN_2131936	"chr1:1451444:1451468:+,chr1:1452691:1452715:+"	ATAD3A	5.81695048	5.871476032	5.931350741	5.81818863	5.893415612	6.030767359	5.912360723	5.983993957	5.857123314	5.907502287	5.881968286	5.944178711
ILMN_1738530	chr1:1469913:1469962:+	ATAD3A	6.226294284	6.397317782	6.375549876	6.363421033	6.310235715	6.312719993	6.321193238	6.340246461	6.285673412	6.276012811	6.375072966	6.241182235
ILMN_1748257	chr1:1471110:1471159:-	C1orf70	5.893323234	5.868541595	5.852068197	5.943488225	5.954561249	5.904875812	5.922524027	5.92169675	5.889750813	5.931562146	5.935061735	6.049885773
ILMN_1664956	chr1:1477144:1477193:-	SSU72	9.429758599	9.784961142	9.493430786	9.49574292	9.633246878	9.566481948	9.690063514	9.911002972	9.760875787	9.857398352	9.699539736	9.594255556
ILMN_1815905	chr1:1479319:1479360:-	SSU72	6.044368826	5.84492004	5.96119615	5.931686394	5.930530457	5.909288133	5.966381088	6.041093915	5.859302274	5.944321674	5.844310679	5.872106262
ILMN_1781677	chr1:1535119:1535168:-	LOC643988	5.967098817	5.952028723	5.95716956	5.92131818	5.903956019	5.851539197	5.959643511	5.96519323	5.971725724	5.878527321	6.01271255	5.888221122
ILMN_2385178	chr1:1565034:1565083:+	MIB2	6.49358239	6.831900358	6.5437753	6.496537649	6.647908819	6.597314057	6.629749326	6.669143043	7.071118718	6.968803825	7.007504976	6.928211372
ILMN_2282077	chr1:1565755:1565804:+	MIB2	7.154361483	7.877087826	7.263334626	7.174031775	7.422879481	7.218979851	6.994865084	7.354412596	7.750413442	7.358381583	7.689760498	7.544851383
ILMN_1808107	chr1:1567560:1567609:+	MMP23B	6.109262751	6.011423956	6.066572731	6.059219041	6.087403039	6.017296445	6.038577499	6.004663458	6.132703121	5.985798119	6.00672386	6.05100821
ILMN_2317701	chr1:1569609:1569658:+	MIFR-1	5.999975299	5.957195779	5.945992028	5.966850128	5.957611747	5.904423643	6.014927663	5.90701103	6.077030753	5.995430474	5.961362195	5.999593794
ILMN_1790052	"chr1:1569662:1569707:+,chr1:1569827:1569830:+"	MIFR-1	5.993682682	6.036113895	6.152241526	5.948050869	5.997534151	5.981761525	6.116426213	5.998649291	6.024192751	6.141105105	6.05535575	6.187305274
ILMN_1689699	chr1:1569813:1569862:+	MIFR-1	5.987835987	5.920969779	5.968305612	5.862255545	6.001545268	5.945797953	5.985185515	5.9893715	5.881035963	5.900139651	5.983130595	5.945694342
ILMN_2193325	chr1:1569986:1570030:+	MMP23B	6.008404991	6.422155073	6.198747786	6.287338706	6.273352889	6.247055747	6.30498962	6.148259352	6.375028776	6.48816086	6.331677116	6.485586906
ILMN_1765704	"chr1:1572443:1572479:-,chr1:1572354:1572366:-"	CDC2L1	6.748768776	6.632201602	6.560237603	6.562067765	6.707367811	6.601033841	6.575663923	6.474568175	7.118593362	6.917923517	6.814181697	6.877709463
ILMN_3300663	chr1:1593063:1593112:-	SLC35E2B	9.972617195	10.4433312	10.13595065	10.32010743	10.68674647	10.11660917	10.04834483	10.20396004	10.2467864	10.32638387	10.16550423	10.43089141
ILMN_3228585	chr1:1593466:1593515:-	SLC35E2B	8.544382501	9.232419255	8.885179772	8.937975548	9.307731491	8.847618426	8.690088588	9.009449637	9.429103679	9.563662122	9.272547955	9.279898076
ILMN_2330552	chr1:1643769:1643818:-	CDK11A	6.628076165	6.742879546	6.391408322	6.373883252	6.660014918	6.839718874	6.57369126	6.794998788	7.121408524	6.983695487	6.650601055	6.837485964
ILMN_1711078	"chr1:1647785:1647786:-,chr1:1643792:1643839:-"	CDK11A	7.072029791	6.910363459	6.880049552	6.653809051	6.977216576	7.114623423	6.93339544	6.910451344	7.400643378	7.137060454	6.973573953	7.236976268
ILMN_3243069	chr1:1647842:1647891:-	CDK11A	7.252510729	7.25936043	6.896678794	6.700088178	7.302154354	7.061840563	6.864811869	7.030852002	7.183550205	6.931536341	6.852493572	6.814965655
ILMN_2359935	chr1:1647866:1647900:-	CDK11B	5.857808952	6.066812054	5.744867021	5.922878277	5.902120624	5.928727165	5.943032919	5.907177317	5.989154473	5.917576259	5.938978981	5.85483183
ILMN_1651209	"chr1:1666129:1666174:-,chr1:1663959:1663962:-"	SLC35E2	6.047915165	5.995515018	6.094858533	6.051023016	6.076374487	6.051453297	6.054704154	5.928722029	6.011156532	6.136922493	5.916802566	6.007942397
ILMN_1758963	chr1:1683100:1683149:-	NADK	9.241716743	9.120835661	8.777978332	8.981937253	8.815054997	8.747609718	9.182195409	8.639063849	8.881868449	8.659398466	9.177200325	9.088363781
ILMN_1760320	chr1:1716837:1716886:-	GNB1	11.24134337	11.192788	11.20033824	10.88630994	11.20489857	11.08408427	10.97322691	11.17207054	11.19608535	10.99676497	11.0960782	11.10695478
ILMN_1739162	chr1:1848458:1848507:+	CALML6	5.955300529	5.856641404	5.953579304	5.95192643	5.856153747	5.98343515	6.063373865	6.001050657	5.972924362	5.949289933	5.922839513	5.90436727
ILMN_1668246	chr1:1849321:1849370:-	TMEM52	5.889480964	5.949231968	5.816614602	5.978371652	5.988502517	5.96631932	5.947370451	6.042005477	5.976153802	5.870160341	5.924711622	5.870137102
ILMN_1749317	chr1:1853507:1853556:-	C1orf222	6.022230197	6.004870941	5.998267435	6.086587348	6.000771195	6.02997959	5.961450144	6.056529536	6.015514095	6.032749978	6.022529098	5.921011086
ILMN_3301688	chr1:1874149:1874198:-	LOC728690	5.935618443	5.895540845	6.004790303	6.014132029	5.884985282	5.942076783	6.006073587	6.097887149	5.944981467	5.919546994	5.898609911	5.85815137
ILMN_2415979	chr1:1884991:1885040:-	KIAA1751	10.28949555	9.979628423	10.13818664	9.983060544	10.24702255	10.12134615	10.27066011	9.831897754	10.0088052	9.807707605	10.26203079	9.802553816
ILMN_1794528	chr1:1905527:1905576:-	KIAA1751	5.960646109	5.965657478	5.946834875	5.945773801	6.013805673	5.924531891	6.00710164	6.132691897	5.941980626	5.860956101	5.881588659	5.95110835
ILMN_1687100	chr1:1915779:1915828:-	KIAA1751	5.980897338	5.920780143	5.974010112	6.047520851	5.953551453	5.913159715	5.965171818	5.94593673	5.902081478	5.884165963	5.940373077	5.897363449
ILMN_1779742	chr1:1961927:1961976:+	GABRD	5.918300482	5.807277725	5.806080495	5.901425228	5.881085751	5.884193726	5.896470545	5.83291096	5.785562744	5.741200148	5.743601337	5.922563155
ILMN_1775050	"chr1:1986999:1987001:+,chr1:1987923:1987969:+"	PRKCZ	5.861715613	5.936521447	5.906642072	5.797251436	5.860013996	5.882658677	5.857272005	5.897327975	5.941751437	5.768182777	5.91514507	5.92884422
ILMN_1662155	chr1:2005318:2005367:+	PRKCZ	5.84665154	5.886850614	5.910771095	5.860414939	5.895969719	5.863058671	5.799908814	5.827878013	5.798125688	5.833278827	5.787401497	5.863144482
ILMN_2253286	chr1:2036277:2036326:+	PRKCZ	5.919519904	6.06856706	6.038386133	6.106781488	5.959800375	6.102687979	6.034999548	5.969946206	6.096993684	5.996298507	6.064682338	6.121027442
ILMN_3182422	chr1:2115949:2115998:-	C1orf86	6.459532751	6.809687288	6.598599207	7.087269608	6.817972944	6.599901007	6.65789905	7.012678799	7.057873053	7.31629898	7.037693654	6.86580098
ILMN_1726989	chr1:2115956:2116005:-	C1orf86	6.432917001	6.660158924	6.364174223	6.665686383	6.691456043	6.615998182	6.369649541	6.722086565	6.895983306	6.928618778	7.037875097	6.667877871
